"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: datasetSize"
"com.research.benchmark.ArrayListBenchmark.delete","thrpt",1,30,0.001149,0.000202,"ops/ns",1000
"com.research.benchmark.ArrayListBenchmark.delete","thrpt",1,30,0.000147,0.000013,"ops/ns",10000
"com.research.benchmark.ArrayListBenchmark.delete","thrpt",1,30,0.000002,0.000000,"ops/ns",100000
"com.research.benchmark.ArrayListBenchmark.delete","thrpt",1,30,0.000000,0.000000,"ops/ns",1000000
"com.research.benchmark.ArrayListBenchmark.insert","thrpt",1,30,0.118200,0.017053,"ops/ns",1000
"com.research.benchmark.ArrayListBenchmark.insert","thrpt",1,30,0.108959,0.015940,"ops/ns",10000
"com.research.benchmark.ArrayListBenchmark.insert","thrpt",1,30,0.109810,0.008713,"ops/ns",100000
"com.research.benchmark.ArrayListBenchmark.insert","thrpt",1,30,0.088992,0.018062,"ops/ns",1000000
"com.research.benchmark.ArrayListBenchmark.iterate","thrpt",1,30,0.000929,0.000149,"ops/ns",1000
"com.research.benchmark.ArrayListBenchmark.iterate","thrpt",1,30,0.000079,0.000007,"ops/ns",10000
"com.research.benchmark.ArrayListBenchmark.iterate","thrpt",1,30,0.000001,0.000000,"ops/ns",100000
"com.research.benchmark.ArrayListBenchmark.iterate","thrpt",1,30,0.000000,0.000000,"ops/ns",1000000
"com.research.benchmark.ArrayListBenchmark.search","thrpt",1,30,0.001892,0.000149,"ops/ns",1000
"com.research.benchmark.ArrayListBenchmark.search","thrpt",1,30,0.000130,0.000012,"ops/ns",10000
"com.research.benchmark.ArrayListBenchmark.search","thrpt",1,30,0.000004,0.000000,"ops/ns",100000
"com.research.benchmark.ArrayListBenchmark.search","thrpt",1,30,0.000000,0.000000,"ops/ns",1000000
"com.research.benchmark.ArrayListBenchmark.update","thrpt",1,30,0.002471,0.000322,"ops/ns",1000
"com.research.benchmark.ArrayListBenchmark.update","thrpt",1,30,0.000170,0.000023,"ops/ns",10000
