operation,dataset_size,cohens_d,effect_size,meets_h1
delete,1000,1.0246,LARGE,True
delete,10000,11.3632,LARGE,True
delete,100000,8.6776,LARGE,True
delete,1000000,19.9393,LARGE,True
insert,1000,1.4333,LARGE,True
insert,10000,1.1967,LARGE,True
insert,100000,2.1868,LARGE,True
insert,1000000,1.3214,LARGE,True
iterate,1000,5.55,LARGE,True
iterate,10000,1.3271,LARGE,True
iterate,100000,2.8604,LARGE,True
iterate,1000000,0.5434,MEDIUM,True
search,1000,8.37,LARGE,True
search,10000,4.8457,LARGE,True
search,100000,13.502,LARGE,True
search,1000000,4.7844,LARGE,True
update,1000,13.5908,LARGE,True
update,10000,3.6498,LARGE,True
update,100000,22.7777,LARGE,True
update,1000000,6.078,LARGE,True
