operation,dataset_size,AL_mean_ns,HM_mean_ns,diff_pct,t_stat,p_raw,p_bonferroni,significant,faster
delete,1000,49391.8,52.57,99.9,3.9682,0.000436,0.008721,False,HashMap
delete,10000,19623.72,75.7,99.6,44.0095,0.0,0.0,True,HashMap
delete,100000,1269170.49,87.89,100.0,33.6081,0.0,0.0,True,HashMap
delete,1000000,13964676.84,111.73,100.0,77.2246,0.0,0.0,True,HashMap
insert,1000,20.8,537.91,-2486.4,-5.5512,5e-06,0.00011,True,ArrayList
insert,10000,21.3,9055.31,-42407.6,-4.6348,7e-05,0.001399,True,ArrayList
insert,100000,21.03,666.17,-3067.5,-8.4695,0.0,0.0,True,ArrayList
insert,1000000,7053.42,235.59,96.7,5.1177,1.8e-05,0.000366,True,HashMap
iterate,1000,2097.92,9189.45,-338.0,-21.4951,0.0,0.0,True,ArrayList
iterate,10000,54684.32,90273.47,-65.1,-5.1397,1.3e-05,0.000255,True,ArrayList
iterate,100000,1437068.09,2137005.24,-48.7,-11.0784,0.0,0.0,True,ArrayList
iterate,1000000,20973619.72,23824442.6,-13.6,-2.1045,0.043152,0.86305,False,ArrayList
search,1000,1088.87,14.47,98.7,32.4167,0.0,0.0,True,HashMap
search,10000,14023.48,23.75,99.8,18.7673,0.0,0.0,True,HashMap
search,100000,529152.49,40.66,100.0,52.2932,0.0,0.0,True,HashMap
search,1000000,7459142.27,70.76,100.0,18.5298,0.0,0.0,True,HashMap
update,1000,886.76,57.95,93.5,52.6368,0.0,0.0,True,HashMap
update,10000,15975.59,95.97,99.4,14.1358,0.0,0.0,True,HashMap
update,100000,433989.81,211.05,100.0,88.2176,0.0,0.0,True,HashMap
update,1000000,6021439.76,584.69,100.0,23.54,0.0,0.0,True,HashMap
